slug,school,name,title,cv_url,graduation_year,personal_url,hidden,google_scholar_url,alternative_name,graduation_school,faculty_directory_url,paper_list_url,bio
northwestern_lakshman_krishnamurthi,Northwestern,Lakshman Krishnamurthi,A. Montgomery Ward Professor of Marketing,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2258,1981,,,https://scholar.google.com/citations?user=JgDuRSMAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=laksh,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=laksh#research,
northwestern_nour_kteily,Northwestern,Nour Kteily,Assistant Professor of Management & Organizations,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=7186,2013,,,https://scholar.google.com/citations?user=b2S9a0gAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=nsk618,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=nsk618#research,
northwestern_lorenz_kueng,Northwestern,Lorenz Kueng,Assistant Professor of Finance,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2261,2012,,,https://scholar.google.com/citations?user=JjLARtAAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=lku998,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=lku998#research,
northwestern_aparna_labroo,Northwestern,Aparna Labroo,Professor of Marketing,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2263,2004,,,https://scholar.google.com/citations?user=8j-8pwwAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=aal953,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=aal953#research,
northwestern_martin_lariviere,Northwestern,Martin Lariviere,John L. and Helen Kellogg Professor of Operations Chair of Operations Department,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2267,1995,,,https://scholar.google.com/citations?user=GevZoN4AAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=mla562,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=mla562#research,
northwestern_angela_y_lee,Northwestern,Angela Y. Lee,Mechthild Esser Nemmers Professor of Marketing Chair of Marketing Department,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2269,1995,,,https://scholar.google.com/citations?user=J0xIR4kAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=ayl676,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=ayl676#research,
northwestern_jin_li,Northwestern,Jin Li,Assistant Professor of Strategy,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2276,2007,,,https://scholar.google.com/citations?user=9kGdgXkAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=jli673,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=jli673#research,
northwestern_matthew_lyle,Northwestern,Matthew Lyle,Assistant Professor of Accounting Information & Management,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2284,2013,,,https://scholar.google.com/citations?user=ky2yVu4AAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=mrl898,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=mrl898#research,
northwestern_robert_magee,Northwestern,Robert Magee,"Keith I. DeLashmutt Professor of Accounting Information & Management Director, Accounting Research Center",https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2286,1974,,,https://scholar.google.com/citations?user=UYIXFDcAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=rpm161,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=rpm161#research,
northwestern_jon_maner,Northwestern,Jon Maner,"James J. O'Connor Professor of Management & Organizations Professor of Psychology, Weinberg College of Arts & Sciences (Courtesy) Associate Chair of Management & Organizations Department",https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=7191,2003,,,https://scholar.google.com/citations?user=c-v8hVUAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=jkm466,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=jkm466#research,
